time,Locus_tag,name,COG_category,FC,sig,loc,res
3h,DLM_1726,rtn,T,0.066480597,,3,
3h,DLM_1727,NA,,0.387525107,,15,
3h,DLM_1728,NA,,-0.208307479,,15,
3h,DLM_1729,NA,,0.353166669,,15,
3h,DLM_1730,gph,R,0.067020203,,13,
3h,DLM_1731,ilvA,E,-0.394616694,,1,
3h,DLM_1732,dacC,M,-0.779010556,,5,
3h,DLM_1735,lipA,H,0.291766124,,12,
3h,DLM_1737,hisJ,ET,0.205668825,,1,
3h,DLM_1738,NA,,-1.30645461,,15,
3h,DLM_1740,gst,O,0.412022064,,10,
3h,DLM_1741,cspC,K,-0.004501585,,2,
3h,DLM_1742,pncA,Q,-0.134836127,,12,
3h,DLM_1743,cls,I,0.48960694,,9,
3h,DLM_1744,sbcD,L,0.105144834,,11,
3h,DLM_1745,sbcC,L,0.096522376,,11,
3h,DLM_1746,rhtB,E,0.578607253,,1,
3h,DLM_1747,araC,K,0.363378594,,2,
3h,DLM_1748,katE,P,0.126642109,,7,
3h,DLM_1749,COG1524,R,0.661390326,,13,
3h,DLM_1750,COG3437,KT,-0.057419587,,2,
3h,DLM_1751,COG0820,R,0.092538396,,13,
3h,DLM_1752,tar,T,-0.086828284,,3,
3h,DLM_1753,atoS,T,0.197148899,,3,
3h,DLM_1755,NA,,0.223493788,,15,
3h,DLM_1756,fixS,P,-0.870505305,,7,
3h,DLM_1757,zntA,P,0.485370122,,7,
3h,DLM_1758,qor,CR,0.703480116,,4,
3h,DLM_1759,NA,,0.57233416,,15,
3h,DLM_1760,NA,,0.333274332,,15,
3h,DLM_1761,typA,T,-1.733768968,,3,
3h,DLM_1762,ddpA,E,0.281020734,,1,
3h,DLM_1763,acrA,M,0.493559585,,5,
3h,DLM_1764,NA,V,0.0775947,,12,
3h,DLM_1765,tolC,MU,-0.158404781,,5,
3h,DLM_1766,acrR,K,0.834223897,,2,
3h,DLM_1767,COG3434,T,0.467864893,,3,
3h,DLM_1768,xerD,L,0.413914896,,11,
3h,DLM_1769,NA,,-0.136946312,,15,
3h,DLM_1770,NA,,-0.115891845,,15,
3h,DLM_1771,NA,,-1.143899336,,15,
3h,DLM_1774,NA,,-0.018876163,,15,
3h,DLM_1775,NA,,0.762173434,,15,
3h,DLM_1776,NA,,0.838556707,,15,
3h,DLM_1777,NA,,0.101321955,,15,
3h,DLM_1778,mltE,M,0.222392421,,5,
3h,DLM_1779,NA,,0.156907322,,15,
3h,DLM_1780,NA,,0.883902658,,15,
3h,DLM_1781,NA,,0.069211939,,15,
3h,DLM_1783,NA,,0.268682511,,15,
3h,DLM_1784,NA,,0.440704543,,15,
3h,DLM_1785,NA,,0.489893267,,15,
3h,DLM_1786,NA,,0.119071148,,15,
3h,DLM_1787,NA,,-0.282421905,,15,
3h,DLM_1789,NA,,0.238555466,,15,
3h,DLM_1790,NA,,-0.983619385,,15,
3h,DLM_1791,tas,C,0.131210556,,4,
3h,DLM_1792,NA,,0.81004878,,15,
3h,DLM_1793,COG1322,S,0.520292663,,14,
3h,DLM_1794,gdhA,E,0.355908597,,1,
3h,DLM_1795,recJ,L,0.230888707,,11,
3h,DLM_1797,oapA,M,0.091186865,,5,
3h,DLM_1798,COG2377,O,0.142993119,,10,
3h,DLM_1799,ftsK,D,-1.54953613,,12,
3h,DLM_1801,livK,E,-0.23813278,,1,
3h,DLM_1802,livK,E,-0.440367788,,1,
3h,DLM_1803,uxuA,G,-0.156464554,,6,
3h,DLM_1804,uhpC,G,0.830964208,,6,
3h,DLM_1805,menG,H,0.503931804,,12,
3h,DLM_1806,fadR,K,0.258867644,,2,
3h,DLM_1807,caiD,I,-0.192794479,,9,
3h,DLM_1808,paaI,Q,0.277584509,,12,
3h,DLM_1809,acrR,K,-0.572172326,,2,
3h,DLM_1811,COG3159,S,-0.369842334,,14,
3h,DLM_1812,NA,,0.185496739,,15,
3h,DLM_1813,aroA,E,0.265721516,,1,
3h,DLM_1814,NA,,0.511891939,,15,
3h,DLM_1815,COG1611,R,-2.090703512,,13,
3h,DLM_1816,pheA,E,-1.453396951,,1,
3h,DLM_1817,COG4122,R,-0.6682527,,13,
3h,DLM_1818,NA,,0.317420713,,15,
3h,DLM_1819,araJ,G,-0.236451192,,6,
3h,DLM_1821,paaI,Q,-0.104614894,,12,
3h,DLM_1822,paaI,Q,-3.682238667,,12,
3h,DLM_1824,NA,,-1.07524986,,15,
3h,DLM_1825,tar,NT,0.240235824,,8,
3h,DLM_1826,COG0436,E,0.190110399,,1,
3h,DLM_1827,lrp,K,0.145855807,,2,
3h,DLM_1828,COG1834,E,0.267008696,,1,
3h,DLM_1829,modA,P,0.11705606,,7,
3h,DLM_1830,modC,P,0.205958971,,7,
3h,DLM_1831,cysA,P,-0.121430028,,7,
3h,DLM_1832,NA,,0.417215191,,15,
3h,DLM_1833,mopI,H,0.455264857,,12,
3h,DLM_1834,hflX,R,-0.025904319,,13,
3h,DLM_1835,srmB,LKJ,0.323827334,,11,
3h,DLM_1836,arcB,T,0.304524507,,3,
3h,DLM_1837,COG3437,KT,0.379413522,,2,
3h,DLM_1838,tar,NT,-0.010619801,,8,
3h,DLM_1839,himA,L,-0.674233204,,11,
3h,DLM_1840,lexA,KT,-0.407513094,,2,
3h,DLM_1841,tar,NT,0.886077168,,8,
3h,DLM_1842,soxR,K,-0.038382477,,2,
3h,DLM_1843,zntA,P,0.22994573,,7,
3h,DLM_1844,COG3224,S,0.10929411,,14,
3h,DLM_1845,COG3287,S,0.333784595,,14,
3h,DLM_1846,NA,T,0.079593021,,3,
3h,DLM_1847,fhlA,T,0.202901504,,3,
3h,DLM_1848,COG3049,M,0.29318624,,5,
3h,DLM_1849,dnaQ,L,0.748890693,,11,
3h,DLM_1851,COG1853,R,-0.222807048,,13,
3h,DLM_1852,hemL,H,-0.235172706,,12,
3h,DLM_1853,glnA,E,0.223496848,,1,
3h,DLM_1854,gntR,K,-0.798030546,,2,
3h,DLM_1855,acrR,K,1.47778904,,2,
3h,DLM_1856,tolC,MU,0.019814055,,5,
3h,DLM_1857,emrA,V,-0.349241991,,12,
3h,DLM_1858,proP,GEPR,-0.187035917,,6,
3h,DLM_1859,tolC,MU,0.571621699,,5,
3h,DLM_1860,salY,V,0.26384292,,12,
3h,DLM_1861,acrA,M,0.437891801,,5,
3h,DLM_1862,NA,T,0.229155373,,3,
3h,DLM_1864,pabA,EH,-1.003619512,,1,
3h,DLM_1865,trpD,E,-1.036567217,,1,
3h,DLM_1866,manB,G,1.209824511,,6,
3h,DLM_1867,hemK,J,-0.134906075,,12,
3h,DLM_1868,COG1279,R,0.376035041,,13,
3h,DLM_1869,lysR,K,0.007759304,,2,
3h,DLM_1870,pncA,Q,1.016972005,,12,
3h,DLM_1871,fabG,IQR,0.390995135,,9,
3h,DLM_1872,COG1359,S,0.072476274,,14,
3h,DLM_1873,COG1741,R,0.175485482,,13,
3h,DLM_1874,cynX,P,-0.724072469,,7,
3h,DLM_1875,lysR,K,0.082916888,,2,
3h,DLM_1876,cdd,F,-0.002091205,,12,
3h,DLM_1877,purL,F,0.699971938,,12,
3h,DLM_1878,glnK,E,0.037210919,,1,
3h,DLM_1880,rluA,J,-0.151966808,,12,
3h,DLM_1881,yfiH,S,0.191125361,,14,
3h,DLM_1886,NA,,0.800662675,,15,
3h,DLM_1887,COG0433,R,0.138895969,,13,
3h,DLM_1888,NA,,0.495618985,,15,
3h,DLM_1889,tra8,L,0.41904996,,11,
3h,DLM_1890,NA,,0.18344547,,15,
3h,DLM_1891,NA,,1.272631957,,15,
3h,DLM_1892,NA,,-1.495825543,,15,
3h,DLM_1893,COG4694,S,0.024994537,,14,
3h,DLM_1894,NA,,-0.116496046,,15,
3h,DLM_1895,NA,,0.457638362,,15,
3h,DLM_1897,NA,,-0.285091327,,15,
3h,DLM_1898,hipA,R,0.214043829,,13,
3h,DLM_1899,pepP,E,0.016759077,,1,
3h,DLM_1900,hlx,R,0.247974482,,13,
3h,DLM_1901,NA,,0.063814178,,15,
3h,DLM_1902,tar,NT,0.080987118,,8,
3h,DLM_1903,mHT1,E,0.030159423,,1,
3h,DLM_1904,hisJ,ET,0.081088858,,1,
3h,DLM_1905,hisM,E,-0.124987847,,1,
3h,DLM_1906,COG0842,V,-0.107934186,,12,
3h,DLM_1907,ccmA,V,1.06006827,,12,
3h,DLM_1908,NA,,0.643112193,,15,
3h,DLM_1909,hisJ,ET,-0.751239453,,1,
3h,DLM_1910,hisM,E,0.292142267,,1,
3h,DLM_1911,glnQ,E,0.042633855,,1,
3h,DLM_1912,nlpA,P,0.762717629,,7,
3h,DLM_1913,pcbC,R,-0.301559849,,13,
3h,DLM_1914,NA,,0.859294032,,15,
3h,DLM_1915,tdcF,J,0.243005018,,12,
3h,DLM_1916,aRO8,KE,-0.186183564,,2,
3h,DLM_1918,lysR,K,0.137960788,,2,
3h,DLM_1919,dinB,S,0.396418277,,14,
3h,DLM_1920,osmC,O,0.556971629,,10,
3h,DLM_1921,cysG,H,0.026757192,,12,
3h,DLM_1922,nirB,C,-0.669724913,,4,
3h,DLM_1923,nirD,PR,-0.88956364,,7,
3h,DLM_1924,nirB,C,-0.590857625,,4,
3h,DLM_1925,narK,P,-0.102629401,,7,
3h,DLM_1926,tauA,P,-0.028159618,,7,
3h,DLM_1927,amiR,T,0.142312577,,3,
3h,DLM_1928,araJ,G,0.423646253,,6,
3h,DLM_1929,glpC,C,0.557030353,,4,
3h,DLM_1930,sdhA,C,0.38715647,,4,
3h,DLM_1931,lysR,K,0.576839778,,2,
3h,DLM_1932,atoC,T,-0.084211998,,3,
3h,DLM_1933,COG4191,T,0.338716539,,3,
3h,DLM_1934,COG2985,R,0.223832448,,13,
3h,DLM_1935,NA,,0.458153136,,15,
3h,DLM_1936,sfcA,C,0.178416462,,4,
3h,DLM_1937,NA,,-0.007155279,,15,
3h,DLM_1938,wcaG,MG,-0.186771701,,5,
3h,DLM_1939,lysR,K,0.296551187,,2,
3h,DLM_1941,NA,,0.025872064,,15,
3h,DLM_1942,tar,T,0.459471936,,3,
3h,DLM_1944,pflA,O,-1.186281172,,10,
3h,DLM_1945,nrdD,F,0.188639422,,12,
3h,DLM_1946,nrdD,F,0.228970524,,12,
3h,DLM_1947,cheY,T,0.238550045,,3,
3h,DLM_1948,citB,TK,-0.495504552,,3,
3h,DLM_1950,potA,E,-0.073742235,,1,
3h,DLM_1951,potD,E,0.214187398,,1,
3h,DLM_1952,potB,E,0.308195089,,1,
3h,DLM_1953,potC,E,0.108281046,,1,
3h,DLM_1954,COG4254,S,0.345405404,,14,
3h,DLM_1955,COG4252,T,0.901356328,,3,
3h,DLM_1957,moeA,H,-0.061417487,,12,
3h,DLM_1958,mobB,H,-0.378496045,,12,
3h,DLM_1959,NA,,0.515829299,,15,
3h,DLM_1960,COG3608,R,0.363391165,,13,
3h,DLM_1961,mug,L,-0.657384734,,11,
3h,DLM_1962,rnhB,L,-0.148806467,,11,
3h,DLM_1969,COG0750,M,1.376655022,,5,
3h,DLM_1977,NA,,-0.298910028,,15,
3h,DLM_1978,COG2070,R,0.353943014,,13,
3h,DLM_1979,araJ,G,-0.206571592,,6,
3h,DLM_1980,kefB,P,-0.140851453,,7,
3h,DLM_1981,COG2170,S,-0.206547634,,14,
3h,DLM_1982,nPY1,L,0.550542696,,11,
3h,DLM_1983,cinA,R,-1.075804636,,13,
3h,DLM_1984,pgi,G,0.323423653,,6,
3h,DLM_1986,htpX,O,0.174308543,,10,
3h,DLM_1989,fabG,IQR,-0.013049511,,9,
3h,DLM_1990,COG1956,T,-0.602291822,,3,
3h,DLM_1991,smc,D,0.162265029,,12,
3h,DLM_1992,ompR,TK,-0.0373264,,3,
3h,DLM_1993,ldhA,CHR,0.412362749,,4,
3h,DLM_1994,xerD,L,-0.040754356,,11,
3h,DLM_1995,dnaK,O,0.138479131,,10,
3h,DLM_1997,COG2321,R,0.14409393,,13,
3h,DLM_1998,pgpA,I,-1.61237386,,9,
3h,DLM_2000,nusB,K,-2.795696717,,2,
3h,DLM_2002,ribA,H,0.169665846,,12,
3h,DLM_2004,prfC,J,0.295275479,,12,
3h,DLM_2005,mscS,M,0.083108728,,5,
3h,DLM_2006,acrR,K,-0.202256726,,2,
3h,DLM_2007,tdh,ER,0.016211691,,1,
3h,DLM_2008,COG0842,V,0.303096893,,12,
3h,DLM_2009,COG1511,S,-0.010442691,,14,
3h,DLM_2010,ccmA,V,0.074829228,,12,
3h,DLM_2011,emrA,V,0.081608646,,12,
3h,DLM_2012,tolC,MU,0.352976025,,5,
3h,DLM_2013,betA,E,0.14275457,,1,
3h,DLM_2014,NA,,0.833126398,,15,
3h,DLM_2015,putA,C,-0.146159666,,4,
3h,DLM_2016,COG3825,S,0.156529882,,14,
3h,DLM_2017,atoS,T,-0.387480773,,3,
3h,DLM_2019,ftsK,D,-0.059810036,,12,
3h,DLM_2020,acnB,C,-0.222807048,,4,
3h,DLM_2021,lysR,K,-0.124880628,,2,
3h,DLM_2022,hisJ,ET,1.044324394,,1,
3h,DLM_2023,fbp,G,0.398681328,,6,
3h,DLM_2024,pleD,T,-0.870505305,,3,
3h,DLM_2025,NA,,1.777192952,,15,
3h,DLM_2026,rimI,R,-0.222807048,,13,
3h,DLM_2027,csdA,E,0.486576771,,1,
3h,DLM_2028,NA,,0.378743575,,15,
3h,DLM_2029,cysE,E,0.452592138,,1,
3h,DLM_2030,pspE,P,-0.469118097,,7,
3h,DLM_2031,nlpA,P,0.312199717,,7,
3h,DLM_2032,abcD,P,0.155788455,,7,
3h,DLM_2033,abcC,P,0.0751301,,7,
3h,DLM_2034,mopI,H,-4.172341981,,12,
3h,DLM_2035,tauB,P,0.509405016,,7,
3h,DLM_2036,tauC,P,-0.330494918,,7,
3h,DLM_2037,COG2141,C,-0.238253076,,4,
3h,DLM_2038,tauA,P,0.169330049,,7,
3h,DLM_2039,COG0431,R,0.060985918,,13,
3h,DLM_2040,NA,,-0.142612735,,15,
3h,DLM_2041,pncA,Q,0.199116836,,12,
3h,DLM_2042,ansP,E,0.045280585,,1,
3h,DLM_2043,atoS,T,0.090403829,,3,
3h,DLM_2044,pleD,T,-0.081237006,,3,
3h,DLM_2045,NA,,0.375531865,,15,
3h,DLM_2046,ompC,M,0.202595615,,5,
3h,DLM_2047,NA,,-0.323410989,,15,
3h,DLM_2050,COG3384,S,-0.300982121,,14,
3h,DLM_2051,araJ,G,-0.110677338,,6,
3h,DLM_2052,COG2828,S,0.469070656,,14,
3h,DLM_2053,lysR,K,0.270853039,,2,
3h,DLM_2054,lysR,K,-0.04441905,,2,
3h,DLM_2055,viuB,P,0.373941367,,7,
3h,DLM_2056,marR,K,0.112060102,,2,
3h,DLM_2057,hisJ,ET,0.072320987,,1,
3h,DLM_2058,hisM,E,0.218285961,,1,
3h,DLM_2059,rimI,R,0.236364492,,13,
3h,DLM_2060,abgB,R,-0.659155054,,13,
3h,DLM_2061,COG2141,C,-0.056974802,,4,
3h,DLM_2062,COG2141,C,0.079221489,,4,
3h,DLM_2064,ompC,M,-0.091749769,,5,
3h,DLM_2065,NA,,0.278091187,,15,
3h,DLM_2066,gloA,E,-0.23477969,,1,
3h,DLM_2067,gloA,E,-0.04567497,,1,
3h,DLM_2068,rtn,T,-0.050907481,,3,
3h,DLM_2069,lysR,K,0.417008784,,2,
3h,DLM_2070,NA,,-1.186281172,,15,
3h,DLM_2071,pta,C,0.266364956,,4,
3h,DLM_2074,NA,,-0.096586343,,15,
3h,DLM_2075,NA,,-0.115347072,,15,
3h,DLM_2080,NA,,-0.706324286,,15,
3h,DLM_2083,sbcC,L,0.197541456,,11,
3h,DLM_2085,NA,,0.414434297,,15,
3h,DLM_2087,NA,,-0.93272782,,15,
3h,DLM_2088,COG4387,S,0.378777673,,14,
3h,DLM_2090,NA,,-0.488920847,,15,
3h,DLM_2094,COG2369,S,-0.934301955,,14,
3h,DLM_2095,COG4383,S,0.166315752,,14,
3h,DLM_2096,COG4373,R,0.490311804,,13,
3h,DLM_2098,NA,,1.421049141,,15,
3h,DLM_2099,NA,,0.15807344,,15,
3h,DLM_2101,NA,,-0.323237139,,15,
3h,DLM_2104,ampD,V,-1.592040858,,12,
3h,DLM_2105,NA,,0.148584233,,15,
3h,DLM_2106,COG4382,S,-0.50788756,,14,
3h,DLM_2107,NA,,0.435086975,,15,
3h,DLM_2108,NA,,-1.240728956,,15,
3h,DLM_2109,himA,L,-1.129697644,,11,
3h,DLM_2112,NA,,-0.500083377,,15,
3h,DLM_2113,NA,,0.718299262,,15,
3h,DLM_2114,COG2842,R,0.107830168,,13,
3h,DLM_2115,NA,,0.247478667,,15,
3h,DLM_2118,hisJ,ET,-0.104855804,,1,
3h,DLM_2119,NA,,-0.200356358,,15,
3h,DLM_2120,cirA,P,0.273508942,,7,
3h,DLM_2121,piuB,S,0.073316719,,14,
3h,DLM_2123,NA,,-0.091912982,,15,
3h,DLM_2124,NA,,0.054726927,,15,
3h,DLM_2125,ahpC,O,0.134135456,,10,
3h,DLM_2126,tauD,Q,0.441530746,,12,
3h,DLM_2127,COG0679,R,-0.293196376,,13,
3h,DLM_2128,lysR,K,0.120080665,,2,
3h,DLM_2129,araJ,G,-0.047009161,,6,
3h,DLM_2130,ompC,M,0.189807789,,5,
3h,DLM_2131,NA,,0.371200592,,15,
3h,DLM_2132,acrR,K,-0.270200569,,2,
3h,DLM_2133,araJ,G,-0.406558205,,6,
3h,DLM_2136,iolE,G,-1.406965251,Depleted,6,
3h,DLM_2137,sdhA,C,0.04152078,,4,
3h,DLM_2138,aroE,E,0.596620706,,1,
3h,DLM_2139,sdhA,C,0.160710537,,4,
3h,DLM_2140,NA,,-0.217425286,,15,
3h,DLM_2142,nlpD,M,-1.048366566,,5,
3h,DLM_2143,NA,,-0.302450385,,15,
3h,DLM_2144,NA,,-0.11450397,,15,
3h,DLM_2146,iolE,G,-0.034994634,,6,
3h,DLM_2147,aroE,E,0.850655113,,1,
3h,DLM_2148,COG3185,ER,-0.084100778,,1,
3h,DLM_2149,iolE,G,-0.101373487,,6,
3h,DLM_2150,lysR,K,-0.1866085,,2,
3h,DLM_2151,NA,,1.092134616,,15,
3h,DLM_2152,COG3384,S,-0.088318776,,14,
3h,DLM_2153,tas,C,-0.425747107,,4,
3h,DLM_2154,mviM,R,-0.04751501,,13,
3h,DLM_2155,COG3384,S,0.062107228,,14,
3h,DLM_2156,NA,,-0.384818722,,15,
3h,DLM_2157,COG3618,R,0.457233511,,13,
3h,DLM_2160,COG2828,S,-0.003153989,,14,
3h,DLM_2161,iclR,K,0.115808175,,2,
3h,DLM_2162,tar,T,-0.317324647,,3,
3h,DLM_2163,COG0637,R,-1.66337964,,13,
3h,DLM_2164,aroQ,E,0.246827204,,1,
3h,DLM_2165,aroE,E,0.113918048,,1,
3h,DLM_2166,tar,NT,0.379908,,8,
3h,DLM_2167,COG2837,P,0.319102217,,7,
3h,DLM_2168,COG2822,P,0.11370437,,7,
3h,DLM_2169,COG2822,P,0.051997134,,7,
3h,DLM_2170,fTR1,P,0.106411082,,7,
3h,DLM_2171,fepB,P,-0.024775424,,7,
3h,DLM_2172,fepD,P,0.220395705,,7,
3h,DLM_2173,fepC,PH,0.597466217,,7,
3h,DLM_2174,copC,R,0.668071229,,13,
3h,DLM_2175,pcoD,P,0.208896626,,7,
3h,DLM_2176,napH,C,0.186305617,,4,
3h,DLM_2177,hisJ,ET,0.306353661,,1,
3h,DLM_2178,NA,,-0.158351743,,15,
3h,DLM_2179,NA,,0.253523776,,15,
3h,DLM_2180,atoS,T,0.137556512,,3,
3h,DLM_2181,smc,D,0.272630513,,12,
3h,DLM_2182,crp,T,0.423280305,,3,
3h,DLM_2183,NA,,0.105013614,,15,
3h,DLM_2184,crp,T,0.143543065,,3,
3h,DLM_2185,osmY,R,0.628078137,,13,
3h,DLM_2186,NA,,1.695054665,,15,
3h,DLM_2187,fumC,C,0.050316801,,4,
3h,DLM_2188,acnA,C,0.184006339,,4,
3h,DLM_2189,osmY,R,-0.171634396,,13,
3h,DLM_2191,infA,J,-0.354835442,,12,
3h,DLM_2192,COG3897,R,-1.216234395,,13,
3h,DLM_2194,lysR,K,0.141385536,,2,
3h,DLM_2195,araJ,G,-0.597614703,,6,
3h,DLM_2196,lexA,KT,0.153471143,,2,
3h,DLM_2197,dinP,L,-0.767127565,,11,
3h,DLM_2198,mdaB,R,-0.096128111,,13,
3h,DLM_2199,crp,T,0.237264204,,3,
3h,DLM_2200,NA,,0.336358049,,15,
3h,DLM_2201,atoS,T,0.370439376,,3,
3h,DLM_2202,arsR,K,-0.267201168,,2,
3h,DLM_2203,wzb,T,-1.522930773,,3,
3h,DLM_2204,aCR3,P,0.007568673,,7,
3h,DLM_2205,COG3342,S,0.011658205,,14,
3h,DLM_2206,tdcF,J,-0.455467805,,12,
3h,DLM_2207,trkA,P,-0.397852535,,7,
3h,DLM_2208,NA,,0.282137423,,15,
3h,DLM_2209,COG3915,S,-0.020113191,,14,
3h,DLM_2210,pleD,T,-0.165241761,,3,
3h,DLM_2211,cobQ,H,-0.261478692,,12,
3h,DLM_2212,cbiB,H,0.174848373,,12,
3h,DLM_2213,hisC,E,2.008518498,,1,
3h,DLM_2214,hoxN,P,0.11634851,,7,
3h,DLM_2215,COG3411,C,-0.945273073,,4,
3h,DLM_2216,cobN,H,0.09465561,,12,
3h,DLM_2217,chlD,H,-0.907640451,,12,
3h,DLM_2218,cobL,H,0.419883641,,12,
3h,DLM_2219,cobH,S,0.370437598,,14,
3h,DLM_2220,cbiD,H,0.238920861,,12,
3h,DLM_2221,cobF,H,-0.465806661,,12,
3h,DLM_2222,cobM,H,-0.892658447,,12,
3h,DLM_2223,cbiG,H,0.8268862,,12,
3h,DLM_2224,cobK,H,-0.3273998,,12,
3h,DLM_2225,COG0523,R,0.449849513,,13,
3h,DLM_2226,btuR,H,-0.689588123,,12,
3h,DLM_2227,cobB,H,0.349771728,,12,
3h,DLM_2228,nfnB,C,0.802283933,,4,
3h,DLM_2229,lysR,K,0.108361329,,2,
3h,DLM_2230,NA,,0.669886473,,15,
3h,DLM_2231,NA,,0.578479527,,15,
3h,DLM_2233,NA,,0.617994357,,15,
3h,DLM_2234,COG1540,R,-0.186581891,,13,
3h,DLM_2235,accB,I,-1.16558218,,9,
3h,DLM_2236,COG4770,I,0.523172505,,9,
3h,DLM_2237,dUR1,E,0.934734229,,1,
3h,DLM_2238,dUR1,E,0.019790995,,1,
3h,DLM_2239,COG2199,T,0.186854418,,3,
3h,DLM_2240,tolC,MU,0.296076843,,5,
3h,DLM_2241,emrA,V,-0.228075569,,12,
3h,DLM_2242,NA,,-0.192013895,,15,
3h,DLM_2243,COG1289,S,0.031316497,,14,
3h,DLM_2244,marR,K,0.612541139,,2,
3h,DLM_2245,NA,,0.294075053,,15,
3h,DLM_2246,NA,,0.106797243,,15,
3h,DLM_2247,trkA,P,0.414217108,,7,
3h,DLM_2248,rtn,T,-0.084325095,,3,
3h,DLM_2249,COG3123,S,0.424601807,,14,
3h,DLM_2250,NA,,0.28356486,,15,
3h,DLM_2251,COG2206,T,-0.256787931,,3,
3h,DLM_2252,COG0412,Q,0.155205616,,12,
3h,DLM_2253,cheA,NT,-0.15253979,,8,
3h,DLM_2254,COG1896,R,-0.149455307,,13,
3h,DLM_2255,cspC,K,-1.422198959,,2,
3h,DLM_2256,COG3310,S,0.317452768,,14,
3h,DLM_2257,NA,,0.529563239,,15,
3h,DLM_2258,plsC,I,-0.371946786,,9,
3h,DLM_2259,NA,,1.602500957,,15,
3h,DLM_2260,pflA,O,-0.062846433,,10,
3h,DLM_2261,pflD,C,-0.00733247,,4,
3h,DLM_2262,NA,,-0.57362941,,15,
3h,DLM_2263,sTE14,O,-0.292091456,,10,
3h,DLM_2264,COG2133,G,0.552490048,,6,
3h,DLM_2265,dgt,F,-0.164800161,,12,
3h,DLM_2266,phoE,G,-0.222807048,,6,
3h,DLM_2267,COG0229,O,-0.132808677,,10,
3h,DLM_2268,COG2199,T,0.344052016,,3,
3h,DLM_2269,NA,,0.040227357,,15,
3h,DLM_2271,NA,,0.366601357,,15,
3h,DLM_2272,baeS,T,-0.0151494,,3,
3h,DLM_2273,ompR,TK,0.15834147,,3,
3h,DLM_2274,NA,,0.430790356,,15,
3h,DLM_2275,lysR,K,0.426126257,,2,
3h,DLM_2276,hisJ,ET,0.04861721,,1,
3h,DLM_2277,tldD,R,0.15462673,,13,
3h,DLM_2278,COG0388,R,-0.532945689,,13,
3h,DLM_2279,COG3164,S,0.322686691,,14,
3h,DLM_2280,glnE,OT,0.065618127,,10,
3h,DLM_2281,ilvE,EH,1.908937206,,1,
3h,DLM_2282,COG4391,S,-1.900878954,,14,
3h,DLM_2283,rfaF,M,-1.415001214,,5,
3h,DLM_2284,acrR,K,0.065150544,,2,
3h,DLM_2285,NA,,-0.470734562,,15,
3h,DLM_2286,NA,,-0.533354915,,15,
3h,DLM_2288,COG2840,S,0.343909743,,14,
3h,DLM_2289,bcp,O,-0.29104791,,10,
3h,DLM_2290,COG1875,T,-0.505571363,,3,
3h,DLM_2291,mhpC,R,-0.36821577,,13,
3h,DLM_2292,COG2096,S,-1.241163307,,14,
3h,DLM_2293,NA,,-0.09431755,,15,
3h,DLM_2298,glnD,O,-1.696334226,Depleted,10,Both
3h,DLM_2300,tar,T,0.497898139,,3,
3h,DLM_2301,NA,,-1.606856855,,15,
3h,DLM_2302,COG0618,R,-0.252298345,,13,
3h,DLM_2303,COG1739,S,0.150236362,,14,
3h,DLM_2305,COG1585,OU,-0.470316531,,10,
3h,DLM_2306,hflC,O,0.052427811,,10,
3h,DLM_2307,COG2917,D,1.544532195,,12,
3h,DLM_2308,COG2350,S,-0.189640185,,14,
3h,DLM_2309,bolA,T,0.141825497,,3,
3h,DLM_2310,surA,O,1.204830488,,10,
3h,DLM_2312,pgsA,I,0.336757799,,9,
3h,DLM_2313,COG4589,R,0.132370551,,13,
3h,DLM_2314,plsC,I,0.35130807,,9,
3h,DLM_2315,pldB,I,-0.098077965,,9,
3h,DLM_2316,pgpB,I,0.861253445,,9,
3h,DLM_2318,rhtB,E,0.212038932,,1,
3h,DLM_2319,COG2905,T,0.386845405,,3,
3h,DLM_2320,NA,,0.314849737,,15,
3h,DLM_2321,hyaA,C,0.197062593,,4,
3h,DLM_2322,hyaB,C,0.154289065,,4,
3h,DLM_2323,hyaC,C,0.363484863,,4,
3h,DLM_2324,vapI,R,-1.479146802,,13,
3h,DLM_2326,NA,,0.116836222,,15,
3h,DLM_2327,NA,,0.528542464,,15,
3h,DLM_2328,NA,,-0.595140097,,15,
3h,DLM_2330,NA,,0.237444516,,15,
3h,DLM_2331,NA,U,0.292750698,,12,
3h,DLM_2332,fhaC,U,0.594271351,,12,
3h,DLM_2333,hyaD,C,0.65667019,,4,
3h,DLM_2334,hypC,O,0.808124811,,10,
3h,DLM_2335,NA,,-0.5233942,,15,
3h,DLM_2336,NA,,0.320448879,,15,
3h,DLM_2337,COG1773,C,1.245223538,,4,
3h,DLM_2338,NA,,-0.701778853,,15,
3h,DLM_2339,hyaB,C,0.661552543,,4,
3h,DLM_2340,hybF,R,0.591326406,,13,
3h,DLM_2341,hypB,OK,-0.161067405,,10,
3h,DLM_2342,hypF,O,0.356311347,,10,
3h,DLM_2343,hypC,O,0.143731933,,10,
3h,DLM_2344,hypD,O,0.232104982,,10,
3h,DLM_2345,hypE,O,-0.653389692,,10,
3h,DLM_2346,atoC,T,0.064103949,,3,
3h,DLM_2347,hyaA,C,0.669193422,,4,
3h,DLM_2348,hyaB,C,0.243120027,,4,
3h,DLM_2349,dinB,S,0.379341963,,14,
3h,DLM_2350,tar,NT,0.652547974,,8,
3h,DLM_2351,NA,,-0.062697452,,15,
